Annee,Tour,Code Departement,Libelle Departement,Circonscription,Inscrits,Votants,Exprimes,Blancs et nuls,Voix_x,Nuance,Positionnement,Pauvreté,carbone,Production brute d’électricité primaire (GWH),Production brute d’électricité primaire renouvelable (GWH),Production brute d’électricité nucléaire (GWH),Prix gaz fr,Prix electricite fr,Taux inflation,Smic,Revenu salarial annuel moyen,CPSO,Femmes,Hommes,Popu,Taux chomage,Age Median FR,Age Moyen Fr,Entreprises,Evolution Emploi total,Evolution Emploi salarié privé,Evolution Emploi salarié public,Evolution Emploi non salarié,Crimes pn,Crimes gendarmes,President,Voix_y,Is_President
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,CDP,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,DIVGAULL,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,692,EXD,Extreme droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,967,DVD,Droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,1756,PSU,Extreme gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,4828,REFRAD,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,9969,SOC,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,11229,COM,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,27768,RIURP,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,LO,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,LCR,Centre gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,OCI,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,SOC,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,DVG,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,REFRAD,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
